asset,market_slug,polymarket_url,real result,side,filled_shares,avg_fill_price,event_start_time,event_end_time,pnl,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767933000,https://polymarket.com/event/sol-updown-15m-1767933000,Down,DOWN,30,0.48,2026-01-09T04:30:00+00:00,2026-01-09T04:45:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767978000,https://polymarket.com/event/sol-updown-15m-1767978000,Down,DOWN,30,4.799.999.999.999.990,2026-01-09T17:00:00+00:00,2026-01-09T17:15:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767986100,https://polymarket.com/event/sol-updown-15m-1767986100,Down,DOWN,30,0.48,2026-01-09T19:15:00+00:00,2026-01-09T19:30:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767943800,https://polymarket.com/event/sol-updown-15m-1767943800,Down,DOWN,30,0.48,2026-01-09T07:30:00+00:00,2026-01-09T07:45:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767988800,https://polymarket.com/event/sol-updown-15m-1767988800,Down,DOWN,30,4.799.999.999.999.990,2026-01-09T20:00:00+00:00,2026-01-09T20:15:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767861900,https://polymarket.com/event/sol-updown-15m-1767861900,Down,DOWN,10,0.48,2026-01-08T08:45:00+00:00,2026-01-08T09:00:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767899700,https://polymarket.com/event/sol-updown-15m-1767899700,Down,DOWN,30,0.48,2026-01-08T19:15:00+00:00,2026-01-08T19:30:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767911400,https://polymarket.com/event/sol-updown-15m-1767911400,Down,DOWN,30,0.48,2026-01-08T22:30:00+00:00,2026-01-08T22:45:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767958200,https://polymarket.com/event/sol-updown-15m-1767958200,Down,DOWN,30,4.799.999.999.999.990,2026-01-09T11:30:00+00:00,2026-01-09T11:45:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767990600,https://polymarket.com/event/sol-updown-15m-1767990600,Down,DOWN,30,4.799.999.999.999.990,2026-01-09T20:30:00+00:00,2026-01-09T20:45:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1768045500,https://polymarket.com/event/sol-updown-15m-1768045500,Down,DOWN,35,48.000.000.000.000.000,2026-01-10T11:45:00+00:00,2026-01-10T12:00:00+00:00,18.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767839400,https://polymarket.com/event/sol-updown-15m-1767839400,Down,DOWN,10,0.48,2026-01-08T02:30:00+00:00,2026-01-08T02:45:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767854700,https://polymarket.com/event/sol-updown-15m-1767854700,Down,DOWN,10,0.48,2026-01-08T06:45:00+00:00,2026-01-08T07:00:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767926700,https://polymarket.com/event/sol-updown-15m-1767926700,Down,DOWN,30,0.48,2026-01-09T02:45:00+00:00,2026-01-09T03:00:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767979800,https://polymarket.com/event/sol-updown-15m-1767979800,Down,DOWN,30,47.999.999.999.999.900,2026-01-09T17:30:00+00:00,2026-01-09T17:45:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1768001400,https://polymarket.com/event/sol-updown-15m-1768001400,Down,DOWN,30,48.000.002.134.154.400,2026-01-09T23:30:00+00:00,2026-01-09T23:45:00+00:00,15.599.999.359.753.600,,,,,,,,,,,,,,
SOL,sol-updown-15m-1768015800,https://polymarket.com/event/sol-updown-15m-1768015800,Down,DOWN,35,48.000.000.000.000.000,2026-01-10T03:30:00+00:00,2026-01-10T03:45:00+00:00,18.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1768029300,https://polymarket.com/event/sol-updown-15m-1768029300,Down,DOWN,35,48.000.000.000.000.000,2026-01-10T07:15:00+00:00,2026-01-10T07:30:00+00:00,18.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767816000,https://polymarket.com/event/sol-updown-15m-1767816000,Down,DOWN,10,0.48,2026-01-07T20:00:00+00:00,2026-01-07T20:15:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767870900,https://polymarket.com/event/sol-updown-15m-1767870900,Down,DOWN,10,0.48,2026-01-08T11:15:00+00:00,2026-01-08T11:30:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767877200,https://polymarket.com/event/sol-updown-15m-1767877200,Down,DOWN,20,0.48,2026-01-08T13:00:00+00:00,2026-01-08T13:15:00+00:00,-9.6,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767917700,https://polymarket.com/event/sol-updown-15m-1767917700,Down,DOWN,30,0.48,2026-01-09T00:15:00+00:00,2026-01-09T00:30:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767924900,https://polymarket.com/event/sol-updown-15m-1767924900,Down,DOWN,30,0.48,2026-01-09T02:15:00+00:00,2026-01-09T02:30:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767925800,https://polymarket.com/event/sol-updown-15m-1767925800,Down,DOWN,30,0.48,2026-01-09T02:30:00+00:00,2026-01-09T02:45:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767945600,https://polymarket.com/event/sol-updown-15m-1767945600,Down,DOWN,30,0.48,2026-01-09T08:00:00+00:00,2026-01-09T08:15:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767956400,https://polymarket.com/event/sol-updown-15m-1767956400,Down,DOWN,30,4.799.999.999.999.990,2026-01-09T11:00:00+00:00,2026-01-09T11:15:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767972600,https://polymarket.com/event/sol-updown-15m-1767972600,Down,DOWN,30,4.799.999.999.999.990,2026-01-09T15:30:00+00:00,2026-01-09T15:45:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767996000,https://polymarket.com/event/sol-updown-15m-1767996000,Down,DOWN,30,4.800.000.200.030.800,2026-01-09T22:00:00+00:00,2026-01-09T22:15:00+00:00,15.599.999.399.907.500,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767865500,https://polymarket.com/event/sol-updown-15m-1767865500,Down,DOWN,10,0.48,2026-01-08T09:45:00+00:00,2026-01-08T10:00:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767880800,https://polymarket.com/event/sol-updown-15m-1767880800,Down,DOWN,20,0.48,2026-01-08T14:00:00+00:00,2026-01-08T14:15:00+00:00,10.4,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767903300,https://polymarket.com/event/sol-updown-15m-1767903300,Down,DOWN,30,0.49,2026-01-08T20:15:00+00:00,2026-01-08T20:30:00+00:00,15.3,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767973500,https://polymarket.com/event/sol-updown-15m-1767973500,Down,DOWN,30,48.000.001.467.061.600,2026-01-09T15:45:00+00:00,2026-01-09T16:00:00+00:00,15.599.999.559.881.400,,,,,,,,,,,,,,
SOL,sol-updown-15m-1768011300,https://polymarket.com/event/sol-updown-15m-1768011300,Down,DOWN,35,48.000.000.000.000.000,2026-01-10T02:15:00+00:00,2026-01-10T02:30:00+00:00,18.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767808800,https://polymarket.com/event/sol-updown-15m-1767808800,Down,DOWN,10,0.48,2026-01-07T18:00:00+00:00,2026-01-07T18:15:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767841200,https://polymarket.com/event/sol-updown-15m-1767841200,Down,DOWN,10,0.48,2026-01-08T03:00:00+00:00,2026-01-08T03:15:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767847500,https://polymarket.com/event/sol-updown-15m-1767847500,Down,DOWN,10,0.48,2026-01-08T04:45:00+00:00,2026-01-08T05:00:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767886200,https://polymarket.com/event/sol-updown-15m-1767886200,Down,DOWN,20,0.48,2026-01-08T15:30:00+00:00,2026-01-08T15:45:00+00:00,10.4,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767938400,https://polymarket.com/event/sol-updown-15m-1767938400,Down,DOWN,30,0.48,2026-01-09T06:00:00+00:00,2026-01-09T06:15:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767948300,https://polymarket.com/event/sol-updown-15m-1767948300,Down,DOWN,30,0.49,2026-01-09T08:45:00+00:00,2026-01-09T09:00:00+00:00,15.3,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767969000,https://polymarket.com/event/sol-updown-15m-1767969000,Down,DOWN,30,48.000.001.200.169.300,2026-01-09T14:30:00+00:00,2026-01-09T14:45:00+00:00,15.599.999.639.949.200,,,,,,,,,,,,,,
